"Species","sizeWeight","disweight","IntraHAIC","InterHAIC"
"JP","2",2,35193.4241549232,44746.9088599248
"TA","2",2,25598.3584360921,30007.0037556722
"BS","2",2,44499.1168790677,51200.6896056858
"Other","2",2,19624.1212579505,19808.6055818867
"All","2.5",0,132984.053119406,148117.371485204
"JP","2.5",0,35518.0847172428,41770.1790100804
"TA","2.5",0,24359.5547662282,27796.9074839593
"BS","2.5",0,44841.9017487234,47955.8595564857
"Other","2.5",0,18982.5439819979,18715.29921013
"All","2.5",0.2,133003.160321541,148608.299162564
"JP","2.5",0.2,35489.5356610265,41971.6122105641
"TA","2.5",0.2,24364.6363433295,27938.1890287008
"BS","2.5",0.2,44819.6122894086,48057.1355365981
"Other","2.5",0.2,19010.0640035273,18784.791487454
"All","2.5",0.4,133069.384232961,149170.635997365
"JP","2.5",0.4,35461.8027754269,42209.8162393357
"TA","2.5",0.4,24382.152970964,28102.6098340596
"BS","2.5",0.4,44793.8525410562,48204.4837384653
"Other","2.5",0.4,19046.2663878738,18866.1437037181
"All","2.5",0.6,133184.505730312,149797.162887468
"JP","2.5",0.6,35433.8959247431,42478.5661342138
"TA","2.5",0.6,24415.2643787611,28288.7350769235
"BS","2.5",0.6,44762.3457043213,48396.098437457
"Other","2.5",0.6,19090.7068415955,18958.8075274403
"All","2.5",0.8,133348.530783225,150480.246488967
"JP","2.5",0.8,35404.2062081709,42770.3958654875
"TA","2.5",0.8,24467.8408826922,28494.5087456792
"BS","2.5",0.8,44723.569512758,48630.3320647595
"Other","2.5",0.8,19142.6720865497,19061.7131917812
"All","2.5",1,133561.536814154,151212.833623074
"JP","2.5",1,35371.9875896379,43077.341114533
"TA","2.5",1,24545.0034738987,28717.2162274482
"BS","2.5",1,44678.505183266,48906.3916408746
"Other","2.5",1,19201.3725820992,19173.5188446221
"All","2.5",1.2,133827.081206527,151989.098023068
"JP","2.5",1.2,35340.0170049522,43391.8042583372
"TA","2.5",1.2,24654.0177066676,28953.6467487356
"BS","2.5",1.2,44632.5320981605,49224.5038266692
"Other","2.5",1.2,19266.3954582245,19292.9390486342
"All","2.5",1.4,134155.179219521,152804.291309098
"JP","2.5",1.4,35317.1287359316,43707.1578481198
"TA","2.5",1.4,24804.5932919704,29200.4316693708
"BS","2.5",1.4,44596.3146285531,49585.3188167175
"Other","2.5",1.4,19338.1726225247,19418.9704401784
"All","2.5",1.6,134562.144060109,153653.958945197
"JP","2.5",1.6,35318.3107879631,44017.9623726382
"TA","2.5",1.6,25007.275269636,29454.3657484282
"BS","2.5",1.6,44584.8538225157,49988.9145599981
"Other","2.5",1.6,19418.1017991523,19550.9359170459
"All","2.5",1.8,135066.41003179,154533.024261613
"JP","2.5",1.8,35361.3282104499,44319.961441025
"TA","2.5",1.8,25269.9945896478,29712.5225759652
"BS","2.5",1.8,44614.7334085281,50433.8490359899
"Other","2.5",1.8,19508.1582480478,19688.3769858912
"All","2.5",2,135682.549426678,155435.164583593
"JP","2.5",2,35461.4186480388,44610.0169592066
"TA","2.5",2,25594.6617028066,29972.1685484129
"BS","2.5",2,44700.5151425638,50916.5282480403
"Other","2.5",2,19610.2175443115,19830.8672362096
"All","3",0,133276.567003729,147927.471249147
"JP","3",0,35606.2842189722,41763.1762727086
"TA","3",0,24474.3119243596,27821.1134828091
"BS","3",0,44944.5185015391,47980.7673369077
"Other","3",0,19022.8568967294,18768.4994506201
"All","3",0.2,133420.683755699,148461.373833472
"JP","3",0.2,35605.3457146537,41979.4735732199
"TA","3",0.2,24498.5991373082,27976.5041217398
"BS","3",0.2,44948.1475747088,48107.7240805163
"Other","3",0.2,19065.8086577696,18849.9433094811
"All","3",0.4,133611.547200429,149054.219844007
"JP","3",0.4,35609.9175268654,42226.2780139508
"TA","3",0.4,24537.0827659032,28152.1863512287
"BS","3",0.4,44951.3850989462,48272.0839282306
"Other","3",0.4,19114.8891093774,18941.2267884205
"All","3",0.6,133846.509335332,149698.030634492
"JP","3",0.6,35618.409296957,42497.487652543
"TA","3",0.6,24591.9185239672,28346.0038093938
"BS","3",0.6,44951.5719643864,48471.5240179794
"Other","3",0.6,19169.1108313954,19041.2383228135
"All","3",0.8,134119.882023587,150384.608824289
"JP","3",0.8,35627.9950639747,42786.0244459733
"TA","3",0.8,24665.1346135935,28555.3191899852
"BS","3",0.8,44946.0848344539,48703.89644066
"Other","3",0.8,19227.2835404911,19148.4670689558
"All","3",1,134424.656740739,151106.4738796
"JP","3",1,35635.7979460002,43084.4925422376
"TA","3",1,24758.9835119296,28777.0817367061
"BS","3",1,44933.7500128751,48967.8321426566
"Other","3",1,19288.2046183691,19261.2575371177
"All","3",1.2,134755.831943922,151857.507772571
"JP","3",1.2,35641.1382232425,43385.9624330464
"TA","3",1.2,24876.7569722351,29008.0174123958
"BS","3",1.2,44916.4833071837,49262.932269263
"Other","3",1.2,19351.074157002,19378.1185538311
"All","3",1.4,135113.847148422,152632.959717239
"JP","3",1.4,35647.8668311575,43684.5512044078
"TA","3",1.4,25023.4004247106,29244.9387966636
"BS","3",1.4,44900.2746034815,49589.3905150466
"Other","3",1.4,19415.9382516352,19497.9417992248
"All","3",1.6,135505.849097803,153428.904984106
"JP","3",1.6,35664.9900748919,43975.6514106126
"TA","3",1.6,25204.9126045655,29485.0230547203
"BS","3",1.6,44894.8790675295,49947.3089109791
"Other","3",1.6,19483.853743718,19620.0638552695
"All","3",1.8,135943.664170379,154241.507264998
"JP","3",1.8,35704.6839931046,44255.9108337599
"TA","3",1.8,25426.4095876068,29725.9001973029
"BS","3",1.8,44912.1556465366,50335.9911886268
"Other","3",1.8,19556.616318862,19744.1833297823
"All","3",2,136439.728221677,155066.412653129
"JP","3",2,35778.6886203969,44523.0995126901
"TA","3",2,25689.9725458784,29965.5557538686
"BS","3",2,44963.6141708263,50753.3894429876
"Other","3",2,19636.2107879375,19870.1842265159
"All","3.5",0,133746.281099054,147912.462667328
"JP","3.5",0,35715.4447989774,41802.79267167
"TA","3.5",0,24595.0413516699,27877.0130034804
"BS","3.5",0,45064.4297986278,48049.4952171588
"Other","3.5",0,19084.4737894232,18839.1191066607
"All","3.5",0.2,133989.640183749,148472.35352296
"JP","3.5",0.2,35742.5296918085,42027.3769594585
"TA","3.5",0.2,24639.0083590248,28042.2642406981
"BS","3.5",0.2,45092.5150924741,48194.7951268577
